submission_id, submission_smiles
fd8d85a5-db4a-4ecf-93d1-416eee50b961, C1(C=C(C#N)C=NC=1NCC)CN1CCN(C(C)=O)CCC1
fc970077-6f76-4de1-8de8-e2a37381b22b, N1(CCN(C2C=CC=CC=2)C(=O)C1)C1C=NC=CC=1
fad6815c-0470-4c07-89ff-303cd8ea635d, CC(C1C=CN=C(N(C(NC2C(CN3CCOCC3)=CC=NC=2C)=O)CC2C=CC=C(C#C)N=2)N=1)C
fa25ac7f-b7ca-4ac6-8a32-5070858535ad, C[C@H]1C2C(=CC([S@](=O)(=N)C)=NC=2)N(C2CCOCC2)CC1(F)F
f8e79267-7d17-48f5-842d-11f2d0d8e9ac, O=C(NC1C=NC=CC=1)C(C1C=CC=CC=1)CCNS(=O)(=O)C
f8ce3686-4774-4f4e-b96a-ab98611b1edd, CC(=O)NCCC1C2C(=C(C=CC=2)CCNS(=O)(=O)C)NC=1
f7373dd1-90b7-4b7f-b944-3d3ca758b1ea, O=C(CC1(CCCCC1)C2=CN=CC=C2)NC3=CC=CN=C3
f2fa0570-a56c-465b-900e-2aeff96f4332, [H]N(C([C@@H](NC(CCC1CCCCC1)=O)CC2=CC=NC=C2)=O)[C@]([C@H](CC)C)([H])C(N[C@@H](CC(C)C)C(O)=O)=O
ed886787-7a03-461a-8e89-d76e33337a9e, O=C(C=C)NC(CNC1C=C(F)C=C(CC2N=C(NCC)C=CC=2F)C=1)=O
ed286faa-f0a4-44f4-b4c7-e3e3ee31719b, ClCC(=O)N(C1C=C(C(=O)N2CCSCC2)C=CC=1)C1C=CC2=C(C#N)C=NC(NCC)=C2C=1
ec9c7557-aad7-4238-85f5-161e77412103, O=C1N(CCN2C(S(=O)(CC3=CC=CC=C3)=O)=NN=N2)C4=CC=CC=C4C1=O
ec786817-8c12-4e7b-946b-8359a50e7949, CC(C1C=C2NC3C(C2=CC=1)=CC(Cl)=CC=3)C(O)=O
ec639444-3928-40c6-9082-9a0493e2f96a, C[C@H](C1C2C=C(OC)C(Cl)=CC=2NC=1)CNC(C)=O
eb7b662f-77ed-403f-aa49-6392e76e4c98, O=C(Nc1cccnc1)Nc2cc(O)cc(Cl)c2
eace69ff-146d-41d5-b9c3-4da3a00af79c, CN(CC1C2C=C(C=CC=2NC=1)OC)C
eaadd1d4-e31e-4cbc-ac00-003ff13f6b2b, C1CN(C(=O)C2CCOCC2)CCN1C(=O)C1=CC=CC=C1
e960e883-d15a-4b84-9132-90d6c5602027, O=C(CC1(CCC1)C2=CC=CC(S(=O)(N)=O)=C2)NC3=CC=CN=C3
e0cd5b56-777c-4dd7-92f2-e0080e6b4e75, C1=CC(C(F)(F)F)=CC2C(C3=CC=CC=C3Cl)CN(C(=O)C(C)=C)CC1=2
dfb36048-96ef-40a6-bcaa-310b733f4437, O=S(=O)(N)C1=CC2C=C(F)C=CC=2N1
